name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,chiller_resize_factor,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,size_kw,size_kwh,comfort_result_time_setpoint_not_met_during_occupied_heating,year_one_bill_us_dollars,water_qbft,electricity_produced_kwh,natural_gas_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_hours,comfort_result_hours_out_of_comfort_bounds_PMV
API Generated 2021-05-30 06:50:13 +0000,023be7ae-27a2-4a52-b669-8a27ca84f66b,2021-05-30T07:36:25.987Z,2021-05-30T07:51:15.430Z,completed,completed normal,24.57553135,0.646373202,1.407926039,43.0275482,2001.291666,1442.806105,825.6665442,20763102.78,50.59864288,66.72296558,766,3179026.51,127128,20763103.06,26232097.22,1325,2475281.99,2091,1334
API Generated 2021-05-30 07:06:23 +0000,a7ee414c-52c7-44b4-b164-c3ccb92b3f1c,2021-05-30T07:51:13.378Z,2021-05-30T08:05:29.305Z,completed,completed normal,21.30507791,0.737796009,1.238810136,46.07950822,2429.044625,573.7331583,676.9114775,20516058.33,312.1745087,564.5490361,762,3057941.52,127118.11,20516060.28,26210341.67,1332,2407641.82,2094,1341
API Generated 2021-05-30 06:50:13 +0000,9df1bae7-63d3-4bbb-8f89-cdd3a10eb637,2021-05-30T07:20:59.756Z,2021-05-30T07:36:00.955Z,completed,completed normal,21.2717552,0.593036025,3.808556547,45.26637875,1346.704836,1631.861598,548.9172946,25231061.11,214.9764779,283.483258,765,4179288.34,145947.53,25231062.22,26205038.89,1347,3140438.55,2112,1339
API Generated 2021-05-30 01:38:05 +0000,ad9e1493-903c-4f57-88ec-ecdbbf46cf0e,2021-05-30T01:54:28.124Z,2021-05-30T02:09:14.886Z,completed,completed normal,22.22046464,0.458535173,1.538233963,42.88108295,2820.186868,1214.869392,520.8817288,21046375,483.6927867,637.8316754,766,3172352.09,128593.56,21046376.67,26228925,1319,2487898,2085,1340
API Generated 2021-05-30 04:14:46 +0000,6d5146c8-ddd5-4bf4-b011-f4cec2876aa1,2021-05-30T04:47:17.746Z,2021-05-30T05:02:13.377Z,completed,completed normal,29.58509061,0.470338496,3.297232321,42.1146678,7895.060309,836.7487094,215.4660278,23397983.33,1227.109315,3900.337448,764,3473088.78,131166.63,23397984.72,26228016.67,1317,2727094.31,2081,1338
API Generated 2021-05-30 02:57:06 +0000,cefe85cb-59ca-46d7-abb2-3592eec28dc6,2021-05-30T03:56:29.431Z,2021-05-30T04:10:39.220Z,completed,completed normal,24.1208179,0.8223752,1.164829061,41.45552856,6712.772616,517.0741685,807.8786062,19995433.33,253.6599262,409.6934451,766,3015218.63,122266.4,19995433.33,26250705.56,1306,2379561.24,2072,1337
API Generated 2021-05-30 06:50:13 +0000,297933b3-a4a5-4e72-a8ce-1579b11f9bd3,2021-05-30T07:06:29.349Z,2021-05-30T07:23:36.774Z,completed,completed normal,24.01586223,0.773870783,0.13051314,43.35832906,1535.939609,1622.12177,423.5860748,18287841.67,97.68422626,128.8133613,763,2715247.66,119714.64,18287843.33,26172888.89,1989,2132870.85,2752,2492
API Generated 2021-05-30 02:57:05 +0000,2dec9e17-cee1-435f-be05-e6d29597676e,2021-05-30T02:57:08.840Z,2021-05-30T03:13:27.698Z,completed,completed normal,22.5914884,0.602404004,0.59191314,48.54991247,4097.082639,471.6314536,212.1860846,19422408.33,961.1578484,4745.492452,765,2524092.77,123656.42,19422408.89,26207519.44,1371,2060811.49,2136,1343
API Generated 2021-05-30 08:07:20 +0000,8bc845f3-0a42-45be-92d3-73bc8a99ec05,2021-05-30T08:23:08.976Z,2021-05-30T08:37:50.027Z,completed,completed normal,28.96390331,0.783879452,1.815502011,45.79067624,2677.594677,1037.560635,747.6046634,21304744.44,147.5581498,194.5806604,763,3262191.86,126550.3,21304742.78,26204416.67,1343,2534967.07,2106,1343
API Generated 2021-05-30 02:57:06 +0000,23579e56-ca88-407f-b998-190ca016bd90,2021-05-30T03:28:22.597Z,2021-05-30T03:43:24.965Z,completed,completed normal,25.06157411,0.225697081,0.675119888,44.59998311,6817.565018,882.7960237,289.6141611,19110461.11,387.5294386,1224.781019,764,2775624.76,119249.36,19110459.44,26218988.89,1440,2193579.98,2204,1487
