name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,year_one_energy_supplied_kw,year_one_energy_supplied_kwh,water_qbft,distributed_generation_total_solar_pv_kw,electricity_kwh,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_cooling,comfort_result_hours_out_of_comfort_bounds_PMV,year_one_demand_cost_us_dollars,size_kw,year_one_energy_supplied_kwh,electricity_produced_kwh,natural_gas_kwh,year_one_bill_us_dollars,size_kwh
API Generated 2021-06-16 05:37:03 +0000,1534a205-7976-4ff3-a9cb-12e712de386a,2021-06-16T05:37:05.178Z,2021-06-16T05:54:33.031Z,completed,completed normal,24.91351051,0.739613838,48.37722356,23311.00899,1612.853231,794.3972954,126354.76,1581.8613,20352236.11,1999918.14,1371,1340,1302286.52,371.6342502,18381986.39,20352238.06,26189436.11,3309404.67,1051.074395
API Generated 2021-06-16 08:41:04 +0000,002f4f89-faea-4e9a-a6d6-b8beb1c4ac8b,2021-06-16T09:28:00.827Z,2021-06-16T09:43:55.588Z,completed,completed normal,20.14221706,0.878694399,48.91146987,28825.99455,1619.71279,769.9524381,127545.97,1860.5688,20446688.89,1975807.49,1368,1339,1274828.82,459.0274726,18245023.39,20446691.11,26193127.78,3257836.31,1634.310578
API Generated 2021-06-16 02:23:50 +0000,ec994a4f-5568-40d6-82e0-f28db5fed4ef,2021-06-16T02:41:06.046Z,2021-06-16T02:56:38.453Z,completed,completed normal,24.85960094,0.930187697,45.20449516,14695.30824,1510.757486,391.291613,122578.51,2254.5553,19800680.56,1824336.74,1337,1340,1019309.46,833.5892551,17358231.67,19800677.78,26202616.67,2850846.2,5434.165839
API Generated 2021-06-16 09:12:32 +0000,13c45b1e-b6fb-4e26-bf3a-c82eb680619c,2021-06-16T09:57:38.011Z,2021-06-16T10:12:07.835Z,completed,completed normal,25.56490815,0.980597479,48.68383427,38229.41423,1643.023893,743.1651447,126195.48,1581.8613,20329727.78,1994794.3,1366,1336,1287623.9,443.3335568,18370739.8,20329729.72,26190597.22,3289618.2,1523.789084
API Generated 2021-06-16 16:35:53 +0000,ab66bcc6-3122-4ae1-8630-7f7380b1c8c4,2021-06-16T17:07:00.723Z,2021-06-16T17:21:05.839Z,completed,completed normal,23.65208256,0.959000156,40.25309858,26977.87081,419.9804995,205.5681463,119966.99,1767.8339,19566194.44,1801490.46,1314,1336,831191.16,1596.780802,17663372.97,19566196.39,26255513.89,2639881.62,11962.18475
API Generated 2021-06-16 10:30:53 +0000,3c5c0898-15b3-4872-9b40-aac39f6fe340,2021-06-16T11:16:29.993Z,2021-06-16T11:31:31.558Z,completed,completed normal,27.70480417,0.903097286,47.80904556,35005.90977,1106.582167,829.0846419,125185.99,1756.6894,20264202.78,1968365.25,1360,1342,1252376.76,527.1977505,18160006.7,20264200.83,26182888.89,3227942.01,1858.385128
API Generated 2021-06-16 16:51:57 +0000,1118a021-0fd6-4f06-b8f5-9ac378be6809,2021-06-16T17:38:08.801Z,2021-06-16T17:53:02.584Z,completed,completed normal,20.42407258,0.13739031,48.68113026,18063.64801,418.1213526,208.3890816,127500.99,2672.9695,20458091.67,1815867.68,1376,1338,879625.49,1912.988176,17793974.1,20458088.89,26198636.11,2702693.18,15135.61277
API Generated 2021-06-16 09:13:02 +0000,a039781e-feeb-43e7-bdf9-3f305928c46d,2021-06-16T09:57:42.866Z,2021-06-16T10:12:16.584Z,completed,completed normal,25.95356017,0.972386285,48.91360301,39170.26422,1672.728376,811.1891115,125983.31,1581.8613,20314258.33,1996543.87,1382,1338,1294422.83,337.7539602,18344437.3,20314257.22,26180277.78,3298166.7,1051.296958
API Generated 2021-06-16 05:37:03 +0000,8008d748-0987-4cf4-9359-185ba938f7bf,2021-06-16T06:37:38.623Z,2021-06-16T06:51:56.397Z,completed,completed normal,29.51281657,0.72991315,42.87045869,15830.68794,1510.757486,573.6220923,121459.04,1742.3814,19866688.89,1888416.91,1330,1342,1128830.21,612.5727795,17814748.8,19866689.17,26223394.44,3024447.13,3275.004761
API Generated 2021-06-16 10:14:09 +0000,5897f36f-0faa-4fee-8b19-d68c2258f376,2021-06-16T11:01:11.069Z,2021-06-16T11:16:20.418Z,completed,completed normal,29.00230245,0.72991315,45.61810725,15169.43589,637.2090969,225.6955168,122361.62,2450.4897,19881755.56,1791361.24,1344,1341,902452.55,1283.461978,17353617.87,19881755.56,26204194.44,2701013.79,10153.35624
API Generated 2021-06-16 00:49:35 +0000,460b44e7-2382-442f-88b1-5f74d428b1f7,2021-06-16T00:51:16.546Z,2021-06-16T01:06:43.198Z,completed,completed normal,24.21870543,0.886383846,43.11260255,18910.27484,1624.759429,308.7087927,120006.6,1742.0512,19560194.44,1823027.73,1342,1336,936531.55,1078.602159,17628588.85,19560192.22,26229897.22,2766759.28,7920.105476
API Generated 2021-06-16 07:08:56 +0000,56bc06ef-9e6e-49fa-ae31-59bc86f2f57f,2021-06-16T07:41:03.948Z,2021-06-16T07:55:52.922Z,completed,completed normal,26.85519785,0.976112336,41.00737811,33109.59756,1655.181613,786.765407,119037.68,1581.8613,19451113.89,1862443.29,1317,1336,1127461.14,494.2659905,17504285.08,19451115,26249988.89,2997104.43,1820.532519
API Generated 2021-06-16 16:35:53 +0000,bb5fefaa-a730-4ec2-b8ca-26449b170f45,2021-06-16T16:35:57.278Z,2021-06-16T16:52:34.504Z,completed,completed normal,25.75894078,0.257489636,43.77696324,17419.39754,463.4845263,209.9856076,119785.15,1903.4245,19526747.22,1787720.01,1354,1335,839144.62,1557.511752,17494791.22,19526747.78,26228730.56,2634064.63,11050.24034
API Generated 2021-06-16 01:07:17 +0000,6ff604a1-312b-4770-bd87-af22b0363ca2,2021-06-16T01:53:52.399Z,2021-06-16T02:08:23.527Z,completed,completed normal,22.63254787,0.612254252,41.14811432,14384.45442,579.684769,264.0838711,120369.28,1704.8163,19602658.33,1821706.07,1316,1342,875221.75,1424.8857,17739792.06,19602660.56,26245372.22,2704127.83,10225.56186
API Generated 2021-06-16 02:23:50 +0000,2850921d-618e-4650-a41b-6fa5f6aba9c1,2021-06-16T02:23:53.274Z,2021-06-16T02:40:53.927Z,completed,completed normal,20.3687128,0.363482252,49.31650909,5753.814035,476.2249378,434.8816918,127458.61,3932.2511,20443936.11,1722340.81,1372,1340,940235.76,1352.040278,16597119.46,20443937.78,26203219.44,2669776.57,8493.432466
API Generated 2021-06-16 00:49:35 +0000,ae1b3141-063b-4a5a-a988-ca9b5d45d51d,2021-06-16T01:04:56.672Z,2021-06-16T01:19:29.691Z,completed,completed normal,29.51955805,0.790754447,48.46279087,32224.96572,698.4045102,548.3436428,124710.15,3169.8474,20226119.44,1797531.73,1363,1343,1057878.49,939.2187559,16974667.79,20226119.44,26187636.11,2862610.22,5477.907874
API Generated 2021-06-16 12:02:41 +0000,6887e4fb-a2c1-46af-9def-7c1b8b99cfcd,2021-06-16T12:48:33.986Z,2021-06-16T13:03:11.434Z,completed,completed normal,29.28398058,0.651901616,47.77439346,12162.60498,860.0129632,491.8375855,124640.48,3441.3565,20224125,1764996.88,1369,1343,1030137.7,1052.889248,16752033.86,20224127.5,26199430.56,2802334.59,6206.096567
API Generated 2021-06-16 10:14:08 +0000,277ab1f7-eeff-40fa-94fa-3a6918a42f58,2021-06-16T10:30:59.738Z,2021-06-16T10:46:17.192Z,completed,completed normal,25.81998382,0.146750485,49.76066983,35156.52363,430.0759233,222.4664602,126005.73,2959.0901,20311844.44,1781801.3,1386,1339,883566.66,1743.459118,17385782.2,20311846.94,26194605.56,2672567.96,13886.41917
API Generated 2021-06-16 14:57:38 +0000,f8b1d0fe-48e0-4ded-8adb-e2452db8def9,2021-06-16T15:14:08.429Z,2021-06-16T15:29:54.539Z,completed,completed normal,20.10307141,0.601677836,48.43377721,8649.399851,429.9292645,509.5319174,127493.85,4053.0623,20456558.33,1715457.42,1357,1341,957604.06,1314.781727,16485838.47,20456558.33,26197786.11,2680261.48,7587.401967
API Generated 2021-06-16 14:57:38 +0000,c9ce4598-640f-43d2-83b2-5a7748020f95,2021-06-16T15:29:51.450Z,2021-06-16T15:44:57.726Z,completed,completed normal,20.04034886,0.180568803,47.6515263,30193.48588,1669.223107,830.0864685,127496.83,1581.8613,20469777.78,2011123.98,1359,1339,1312152.96,334.4301264,18498662.87,20469778.33,26187986.11,3330476.94,1015.678033
API Generated 2021-06-16 13:19:44 +0000,404a778a-eaef-4778-9618-1bade9f93697,2021-06-16T13:36:01.672Z,2021-06-16T13:51:39.416Z,completed,completed normal,20.12162531,0.652898486,49.81869048,11652.81883,427.3833925,542.276765,127517.74,3952.5803,20447630.56,1726342.54,1377,1338,966606.05,1277.373188,16559884.16,20447631.11,26199327.78,2700148.59,7342.050854
API Generated 2021-06-16 10:14:08 +0000,695f6c35-7d97-45ef-8164-ebf7ec8a53af,2021-06-16T10:46:33.803Z,2021-06-16T11:01:33.165Z,completed,completed normal,28.30532652,0.167677319,40.17793197,38481.79476,452.664562,470.2579383,119325.7,2259.2152,19582011.11,1769547.47,1346,1371,909913.45,1437.096137,17205364.34,19582011.11,26249730.56,2686660.93,8298.152774
API Generated 2021-06-16 07:08:56 +0000,0192d8dd-8f87-429f-a6b0-62a1816f2af1,2021-06-16T07:08:57.634Z,2021-06-16T07:24:37.183Z,completed,completed normal,20.2323125,0.295547846,40.75863407,13888.6126,509.122334,215.1364259,120725.71,1581.8613,19654766.67,1833735.3,1317,1343,867238.96,1538.457061,17908857.99,19654768.33,26239866.67,2708174.26,11137.80191
API Generated 2021-06-16 12:03:32 +0000,fe4639f5-3783-411b-9d2b-74d9e7ff32b7,2021-06-16T12:49:20.113Z,2021-06-16T13:03:56.424Z,completed,completed normal,26.5938391,0.318402232,44.24338239,35640.63658,1255.110146,459.5439997,120222.55,1712.536,19587305.56,1849520.44,1353,1339,997277.87,869.0503124,17614991.82,19587305.28,26212569.44,2853998.32,5110.749187
